id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,ctx_sched_in,5.199200000000002,30.25,2.44,4.847432663644898,50,382.171741,0.1308312327572121
2-39-89-25,attack,branch,psi_group_change,10.306628571428572,95.91,0.18,8.803015734514172,350,382.171741,0.9158186293004852
2-39-89-25,attack,branch,visit_groups_merge.constprop.0.is,4.5858620689655165,19.04,1.98,3.356524049456712,29,382.171741,0.075882114999183
2-39-89-25,attack,branch,__update_load_avg_se,2.6556999999999995,10.28,0.03,2.114886751033485,100,382.171741,0.2616624655144243
2-39-89-25,attack,branch,kmem_cache_alloc_node,4.839937888198758,33.33,0.24,4.866054548719943,161,382.171741,0.4212765694782232
2-39-89-25,attack,branch,merge_sched_in,3.838176100628931,7.69,0.01,2.479966786054106,159,382.171741,0.4160433201679346
2-39-89-25,attack,branch,event_sched_in,5.164293478260869,14.96,0.0,3.8435351357349856,184,382.171741,0.4814589365465407
2-39-89-25,attack,branch,kmem_cache_alloc_trace,3.777317073170732,14.89,0.01,3.1935570571588467,123,382.171741,0.3218448325827419
2-39-89-25,attack,branch,native_sched_clock,4.845000000000001,12.68,0.0,2.7190097617528046,72,382.171741,0.1883969751703855
2-39-89-25,attack,branch,update_load_avg,5.054615384615385,8.97,0.18,2.570863228642205,65,382.171741,0.1700806025843758
2-39-89-25,attack,branch,perf_event_groups_insert,5.299110320284697,37.15,0.02,4.498550352843864,281,382.171741,0.7352715280955323
2-39-89-25,normal,branch,update_load_avg,2.57984375,18.13,0.0,4.0894783663117416,64,404.289015,0.1583025944941887
2-39-89-25,normal,branch,__update_load_avg_se,9.75608695652174,26.35,3.23,4.442345438203489,69,404.289015,0.1706699846890472
2-39-89-25,normal,branch,kmem_cache_alloc_node,4.281940298507462,32.37,0.0,7.429161060105491,67,404.289015,0.1657230286111038
2-39-89-25,normal,branch,merge_sched_in,8.630143540669858,99.99,0.01,13.231150579309949,209,404.289015,0.5169569101450852
2-39-89-25,normal,branch,ctx_sched_in,2.9759420289855067,16.48,0.0,4.577198706260186,69,404.289015,0.1706699846890472
2-39-89-25,normal,branch,perf_event_groups_insert,2.57984375,18.13,0.0,4.0894783663117416,64,404.289015,0.1583025944941887
2-39-89-25,normal,branch,native_sched_clock,8.993076923076924,54.64,0.01,14.735983901269083,91,404.289015,0.2250865015464246
2-39-89-25,normal,branch,psi_group_change,10.984156378600824,66.34,0.07,14.5849659521949,243,404.289015,0.601055163470123
2-39-89-25,normal,branch,event_sched_in,9.088695652173913,28.23,0.0,7.666200424147064,138,404.289015,0.3413399693780945
2-39-89-25,normal,branch,kmem_cache_alloc_trace,3.3853225806451603,30.33,0.01,6.468690981101973,62,404.289015,0.1533556384162453
2-39-89-25,normal,branch,visit_groups_merge.constprop.0.is,5.247096774193548,27.62,0.0,7.566096261677159,124,404.289015,0.3067112768324907
2-39-89-25,attack,cycles,perf_event_alloc,4.912537764350453,22.55,0.33,2.754171749380326,331,382.171741,0.8661027608527445
2-39-89-25,normal,cycles,perf_event_alloc,98.8,98.8,98.8,2.9685507335392095e-14,12,404.289015,0.0296817364676603
2-39-89-25,attack,instructions,native_sched_clock,3.047037037037037,8.64,0.68,1.3636806875036034,54,382.171741,0.1412977313777891
2-39-89-25,attack,instructions,inherit_event.constprop.0,2.639867549668874,7.71,0.11,1.4051713948862687,151,382.171741,0.3951103229267807
2-39-89-25,attack,instructions,psi_group_change,6.942888198757763,23.7,0.4,4.400065495822065,322,382.171741,0.8425531389564463
2-39-89-25,attack,instructions,_raw_spin_lock_irqsave,3.942073170731708,13.01,1.57,2.417148987784544,82,382.171741,0.2145632217218279
2-39-89-25,attack,instructions,event_sched_in,4.32625,22.22,0.06,3.694465309600438,152,382.171741,0.3977269475819249
2-39-89-25,attack,instructions,x86_pmu_event_init,4.079545454545456,19.95,0.41,3.2696343780008226,110,382.171741,0.2878287120658667
2-39-89-25,normal,instructions,x86_pmu_event_init,7.785714285714286,25.67,1.27,8.067385220932872,84,404.289015,0.2077721552736227
2-39-89-25,normal,instructions,_raw_spin_lock_irqsave,4.540581395348837,44.93,0.09,8.62446838663813,86,404.289015,0.2127191113515661
2-39-89-25,normal,instructions,inherit_event.constprop.0,7.30690476190476,46.14,1.05,8.258575094605,84,404.289015,0.2077721552736227
2-39-89-25,normal,instructions,native_sched_clock,4.597558139534884,33.93,0.1,8.485238384262196,86,404.289015,0.2127191113515661
2-39-89-25,normal,instructions,psi_group_change,5.68404761904762,32.4,0.32,9.257126348855191,84,404.289015,0.2077721552736227
2-39-89-25,normal,instructions,event_sched_in,98.8,98.8,98.8,2.9685507335392095e-14,12,404.289015,0.0296817364676603
2-39-139-28,attack,branch,ctx_sched_in,3.2468,10.6,0.31,1.9937672678543368,50,382.171741,0.1308312327572121
2-39-139-28,attack,branch,psi_group_change,7.377242424242425,20.31,0.1,3.709595292735402,330,382.171741,0.8634861361976003
2-39-139-28,attack,branch,visit_groups_merge.constprop.0.is,2.878115942028985,7.51,0.08,1.194965442938409,138,382.171741,0.3610942024099055
2-39-139-28,attack,branch,__update_load_avg_se,3.563364485981308,7.55,0.14,2.20999656105138,107,382.171741,0.279978838100434
2-39-139-28,attack,branch,kmem_cache_alloc_node,2.976140350877193,10.66,0.26,1.9221514995460056,114,382.171741,0.2982952106864437
2-39-139-28,attack,branch,merge_sched_in,3.900416666666666,12.51,0.1,2.3189565240566963,216,382.171741,0.5651909255111566
