id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,dequeue_task_fair,1.6670833333333337,2.92,1.14,0.4326810168228329,24,382.171741,0.0627989917234618
GS_1,attack,branch,tcp_recvmsg_locked,2.0309210526315797,4.22,1.11,0.6628447332150095,76,382.171741,0.1988634737909624
GS_1,attack,branch,finish_task_switch.isra.0,1.4283333333333337,1.78,1.18,0.2147013429549677,6,382.171741,0.0156997479308654
GS_1,attack,branch,__lock_text_start,1.5610000000000002,1.92,1.31,0.164684884282411,10,382.171741,0.0261662465514424
GS_1,attack,branch,ctx_sched_in,1.867636363636363,3.27,1.06,0.5420228355048837,55,382.171741,0.1439143560329333
GS_1,attack,branch,ip_output,1.71,2.52,1.22,0.3696394639825857,13,382.171741,0.0340161205168751
GS_1,attack,branch,tcp_v4_rcv,2.509878048780488,8.11,1.09,1.5082927098294088,82,382.171741,0.2145632217218279
GS_1,attack,branch,psi_task_switch,1.715,3.08,1.16,0.586128541078377,16,382.171741,0.0418659944823078
GS_1,attack,branch,neigh_hh_output,1.7284210526315789,3.06,1.16,0.4929038408265498,38,382.171741,0.0994317368954812
GS_1,attack,branch,rb_erase,3.4585,19.26,1.22,4.470070380936559,20,382.171741,0.0523324931028848
GS_1,attack,branch,__tcp_push_pending_frames,1.37,1.37,1.37,,1,382.171741,0.0026166246551442
GS_1,attack,branch,psi_group_change,10.971476323119775,19.38,4.57,2.8858472403834723,359,382.171741,0.9393682511967832
GS_1,attack,branch,tcp_event_data_recv,1.39,1.6,1.18,0.1899122604432549,4,382.171741,0.0104664986205769
GS_1,attack,branch,switch_fpu_return,1.6049999999999998,1.88,1.42,0.1709678332318684,6,382.171741,0.0156997479308654
GS_1,attack,branch,sock_poll,1.31,1.31,1.31,,1,382.171741,0.0026166246551442
GS_1,attack,branch,perf_event_groups_first,1.6860344827586204,3.5,1.06,0.5147199533426171,58,382.171741,0.1517642299983661
GS_1,attack,branch,ip_local_out,2.248947368421052,5.46,1.18,0.926022559627374,38,382.171741,0.0994317368954812
GS_1,attack,branch,__skb_clone,1.2,1.3,1.12,0.0916515138991167,3,382.171741,0.0078498739654327
GS_1,attack,branch,dequeue_entity,1.926111111111111,3.01,1.1,0.5578650362702526,18,382.171741,0.0470992437925963
GS_1,attack,branch,remove_wait_queue,1.51,1.51,1.51,,1,382.171741,0.0026166246551442
GS_1,attack,branch,dequeue_task,1.25,1.25,1.25,,1,382.171741,0.0026166246551442
